name,url,address,airport,distance,unit,rating,lat,long
Hotel Malte - Astotel,https://www.tripadvisor.com/Hotel_Review-g187147-d228694-Reviews-Hotel_Malte_Astotel-Paris_Ile_de_France.html,"63 rue de Richelieu, 75002 Paris France",Orly Field,10,mi,4.0,48.867148,2.337552
Hotel Astoria - Astotel,https://www.tripadvisor.com/Hotel_Review-g187147-d230431-Reviews-Hotel_Astoria_Astotel-Paris_Ile_de_France.html,"42 rue de Moscou 8th Arr., 75008 Paris France",Orly Field,11,mi,3.0,48.881674,2.322931
Novotel Paris Les Halles,https://www.tripadvisor.com/Hotel_Review-g187147-d197424-Reviews-Novotel_Paris_Les_Halles-Paris_Ile_de_France.html,"8 Place Marguerite de Navarre, 75001 Paris France",Orly Field,9,mi,4.0,48.8609793,2.3463248
Hotel La Comtesse,https://www.tripadvisor.com/Hotel_Review-g187147-d10159593-Reviews-Hotel_La_Comtesse-Paris_Ile_de_France.html,"29 Avenue De Tourville, 75007 Paris France",Orly Field,9,mi,3.0,48.8539169,2.3072448
La Maison Favart,https://www.tripadvisor.com/Hotel_Review-g187147-d232552-Reviews-La_Maison_Favart-Paris_Ile_de_France.html,"5, Rue de Marivaux 2nd Arr, 75002 Paris France",Orly Field,10,mi,4.0,48.870771,2.337344
Best Western Plus La Demeure,https://www.tripadvisor.com/Hotel_Review-g187147-d276923-Reviews-Best_Western_Plus_La_Demeure-Paris_Ile_de_France.html,"51 boulevard Saint Marcel, 75013 Paris France",Orly Field,8,mi,4.0,48.822347,2.372302
Hotel Marignan Champs-Elysees,https://www.tripadvisor.com/Hotel_Review-g187147-d228779-Reviews-Hotel_Marignan_Champs_Elysees-Paris_Ile_de_France.html,"12 rue de Marignan 08 Arr., 75008 Paris France",Orly Field,10,mi,5.0,48.868512,2.306476
Generator Paris,https://www.tripadvisor.com/Hotel_Review-g187147-d7392376-Reviews-Generator_Paris-Paris_Ile_de_France.html,"9-11 Place du Colonel Fabien, 75010 Paris France",Orly Field,10,mi,1.0,48.878253,2.369395841922473
Hotel La Manufacture,https://www.tripadvisor.com/Hotel_Review-g187147-d197563-Reviews-Hotel_La_Manufacture-Paris_Ile_de_France.html,"8 rue Philippe de Champagne 13th Arr., 75013 Paris France",Orly Field,7,mi,3.0,48.832932,2.355342
Hotel Joke - Astotel,https://www.tripadvisor.com/Hotel_Review-g187147-d287896-Reviews-Hotel_Joke_Astotel-Paris_Ile_de_France.html,"69 Rue Blanche, 75009 Paris France",Orly Field,11,mi,3.0,48.8824214,2.3318411
Hotel Le 123 Sebastopol - Astotel,https://www.tripadvisor.com/Hotel_Review-g187147-d4800782-Reviews-Hotel_Le_123_Sebastopol_Astotel-Paris_Ile_de_France.html,"123 Boulevard de Sebastopol 2nd Arr., 75002 Paris France",Orly Field,10,mi,4.0,48.86763,2.353078
Hotel Piapia,https://www.tripadvisor.com/Hotel_Review-g187147-d9453876-Reviews-Hotel_Piapia-Paris_Ile_de_France.html,"14 rue des Maraichers, 75020 Paris France",Orly Field,9,mi,3.0,48.8485826,2.4079073
Hotel 34B - Astotel,https://www.tripadvisor.com/Hotel_Review-g187147-d9566832-Reviews-Hotel_34B_Astotel-Paris_Ile_de_France.html,"34 Rue Bergère, 75009 Paris France",Orly Field,10,mi,3.0,48.8726708,2.343584
citizenM Paris Champs-Élysées,https://www.tripadvisor.com/Hotel_Review-g187147-d23338812-Reviews-CitizenM_Paris_Champs_Elysees-Paris_Ile_de_France.html,"128 rue la Boetie, 75008 Paris France",Orly Field,10,mi,4.0,48.8709551,2.305982
Passy Eiffel Hotel,https://www.tripadvisor.com/Hotel_Review-g187147-d315160-Reviews-Passy_Eiffel_Hotel-Paris_Ile_de_France.html,"10 rue de Passy, 75016 Paris France",Orly Field,10,mi,3.0,48.8584169,2.2834578
Hotel Europe Saint Severin,https://www.tripadvisor.com/Hotel_Review-g187147-d250927-Reviews-Hotel_Europe_Saint_Severin-Paris_Ile_de_France.html,"38 rue Saint Severin, 75005 Paris France",Orly Field,9,mi,3.0,48.8526535,2.3444447
Citadines Tour Eiffel Paris,https://www.tripadvisor.com/Hotel_Review-g187147-d197659-Reviews-Citadines_Tour_Eiffel_Paris-Paris_Ile_de_France.html,"132 boulevard de Grenelle 15th Arr., 75015 Paris France",Orly Field,9,mi,3.0,48.848818,2.298016
Hotel Darcet,https://www.tripadvisor.com/Hotel_Review-g187147-d274978-Reviews-Hotel_Darcet-Paris_Ile_de_France.html,"4 rue Darcet 17 Arr., 75017 Paris France",Orly Field,11,mi,2.0,48.883969,2.324805
Hotel Tourisme Avenue,https://www.tripadvisor.com/Hotel_Review-g187147-d558849-Reviews-Hotel_Tourisme_Avenue-Paris_Ile_de_France.html,"66 avenue de la Motte Picquet, 75015 Paris France",Orly Field,9,mi,4.0,48.8495033,2.2981859
Pullman Paris Eiffel Tower Hotel,https://www.tripadvisor.com/Hotel_Review-g187147-d197985-Reviews-Pullman_Paris_Eiffel_Tower_Hotel-Paris_Ile_de_France.html,"18 Avenue de Suffren, 75015 Paris France",Orly Field,9,mi,4.0,48.855867,2.293293
Campanile Paris 19 - La Villette,https://www.tripadvisor.com/Hotel_Review-g187147-d233767-Reviews-Campanile_Paris_19_La_Villette-Paris_Ile_de_France.html,"147/151 Avenue de Flandre, 75019 Paris France",Charles De Gaulle Airport,11,mi,3.0,48.893465,2.380031
Chouette Hotel,https://www.tripadvisor.com/Hotel_Review-g187147-d260484-Reviews-Chouette_Hotel-Paris_Ile_de_France.html,"237 rue de la Convention, 75015 Paris France",Orly Field,8,mi,3.0,48.835741,2.3019435
Hotel Aida Opera,https://www.tripadvisor.com/Hotel_Review-g187147-d229554-Reviews-Hotel_Aida_Opera-Paris_Ile_de_France.html,"11 rue Richer 17 Rue Du Conservatoire, 75009 Paris France",Orly Field,10,mi,3.0,48.873907,2.34688
Sonder L'Edmond Parc Monceau,https://www.tripadvisor.com/Hotel_Review-g187147-d2294996-Reviews-Sonder_L_Edmond_Parc_Monceau-Paris_Ile_de_France.html,"22 avenue de Villiers, 75017 Paris France",Orly Field,11,mi,4.0,48.8821707,2.3131889
Hotel Mayfair Paris,https://www.tripadvisor.com/Hotel_Review-g187147-d228759-Reviews-Hotel_Mayfair_Paris-Paris_Ile_de_France.html,"3 rue Rouget de Lisle, 75001 Paris France",Orly Field,10,mi,4.0,48.8661477,2.3262375
The People - Paris Belleville,https://www.tripadvisor.com/Hotel_Review-g187147-d8874618-Reviews-The_People_Paris_Belleville-Paris_Ile_de_France.html,"59 Boulevard De Belleville, 75011 Paris France",Orly Field,10,mi,3.0,48.870029,2.3789305
Novotel Paris Centre Gare Montparnasse,https://www.tripadvisor.com/Hotel_Review-g187147-d597573-Reviews-Novotel_Paris_Centre_Gare_Montparnasse-Paris_Ile_de_France.html,"17 rue du Cotentin, 75015 Paris France",Orly Field,8,mi,4.0,48.8385794,2.3150411
St Christopher's Inn Canal Paris,https://www.tripadvisor.com/Hotel_Review-g187147-d1072845-Reviews-St_Christopher_s_Inn_Canal_Paris-Paris_Ile_de_France.html,"159 Rue Crimee 68-74 Quai de la Seine, 75019 Paris France",Orly Field,11,mi,2.0,48.8885905,2.3789635
Le 55 Montparnasse Hotel,https://www.tripadvisor.com/Hotel_Review-g187147-d274979-Reviews-Le_55_Montparnasse_Hotel-Paris_Ile_de_France.html,"55 rue de Plaisance, 75014 Paris France",Orly Field,8,mi,3.0,48.8335847,2.3177763
St Christopher's Gare du Nord Paris,https://www.tripadvisor.com/Hotel_Review-g187147-d4020056-Reviews-St_Christopher_s_Gare_du_Nord_Paris-Paris_Ile_de_France.html,"5, rue de Dunkerque, 75010 Paris France",Orly Field,10,mi,3.0,48.8793095,2.3581513
B Montmartre Hotel,https://www.tripadvisor.com/Hotel_Review-g187147-d280083-Reviews-B_Montmartre_Hotel-Paris_Ile_de_France.html,"6 Rue Lecluse, 75017 Paris France",Orly Field,11,mi,4.0,48.8836404,2.3257171
Hotel Le Mareuil,https://www.tripadvisor.com/Hotel_Review-g187147-d264828-Reviews-Hotel_Le_Mareuil-Paris_Ile_de_France.html,"51 Rue De Malte, 75011 Paris France",Orly Field,10,mi,4.0,48.8660046,2.3674945
Hotel Le Milie Rose,https://www.tripadvisor.com/Hotel_Review-g187147-d23396908-Reviews-Hotel_Le_Milie_Rose-Paris_Ile_de_France.html,"22 rue des Petites Ecuries, 75010 Paris France",Orly Field,10,mi,4.0,48.8736325,2.3520525
Hotel Bradford Elysees - Astotel,https://www.tripadvisor.com/Hotel_Review-g187147-d197946-Reviews-Hotel_Bradford_Elysees_Astotel-Paris_Ile_de_France.html,"10, rue Saint Philippe du Roule, 75008 Paris France",Orly Field,10,mi,4.0,48.8728773,2.3081702
Hotel Lorette - Astotel,https://www.tripadvisor.com/Hotel_Review-g187147-d228848-Reviews-Hotel_Lorette_Astotel-Paris_Ile_de_France.html,"36 rue Notre Dame de Lorette 9th Arr., 75009 Paris France",Orly Field,11,mi,3.0,48.878857,2.337135
Secret de Paris - Hotel & Spa,https://www.tripadvisor.com/Hotel_Review-g187147-d1633522-Reviews-Secret_de_Paris_Hotel_Spa-Paris_Ile_de_France.html,"2 Rue de Parme, 75009 Paris France",Orly Field,11,mi,4.0,48.8813448,2.3282384
Hotel George - Astotel,https://www.tripadvisor.com/Hotel_Review-g187147-d234640-Reviews-Hotel_George_Astotel-Paris_Ile_de_France.html,"46, rue Notre Dame de Lorette 9th Arr., 75009 Paris France",Orly Field,11,mi,3.0,48.879525,2.336327
Hotel des Arts - Montmartre,https://www.tripadvisor.com/Hotel_Review-g187147-d506900-Reviews-Hotel_des_Arts_Montmartre-Paris_Ile_de_France.html,"5 rue Tholoze, 75018 Paris France",Orly Field,11,mi,4.0,48.8861964,2.335248
Sofitel Paris Baltimore Tour Eiffel,https://www.tripadvisor.com/Hotel_Review-g187147-d229450-Reviews-Sofitel_Paris_Baltimore_Tour_Eiffel-Paris_Ile_de_France.html,"88 B avenue Kleber 16 Arr., 75116 Paris France",Orly Field,10,mi,5.0,48.8722484,2.2936049
