name,url,address,airport,distance,unit,rating,restname,mon,tue,wed,thur,fri,sat,sun,lat,long
Novotel Paris Les Halles,https://www.tripadvisor.com/Hotel_Review-g187147-d197424-Reviews-Novotel_Paris_Les_Halles-Paris_Ile_de_France.html,"8 Place Marguerite de Navarre, 75001 Paris France",ORY,9.0,mi,4.0,Le Jardin Privé,Monday 12:00 - 22:30,Tuesday 12:00 - 22:30,Wednesday 12:00 - 22:30,Thursday 12:00 - 22:30,Friday 12:00 - 22:30,Saturday 12:00 - 22:30,Sunday 12:00 - 22:30,48.86073,2.34652
citizenM Paris Champs-Élysées,https://www.tripadvisor.com/Hotel_Review-g187147-d23338812-Reviews-CitizenM_Paris_Champs_Elysees-Paris_Ile_de_France.html,"128 rue la Boetie, 75008 Paris France",ORY,10.0,mi,4.0,canteenM,Monday 6AM-11AM12PM-11PM,Tuesday 6AM-11AM12PM-11PM,Wednesday 6AM-11AM12PM-11PM,Thursday 6AM-11AM12PM-11PM,Friday 6AM-11AM12PM-11PM,Saturday 6AM-11AM12PM-11PM,Sunday 6AM-11AM12PM-11PM,48.87096,2.30596
Hotel Tourisme Avenue,https://www.tripadvisor.com/Hotel_Review-g187147-d558849-Reviews-Hotel_Tourisme_Avenue-Paris_Ile_de_France.html,"66 avenue de la Motte Picquet, 75015 Paris France",ORY,9.0,mi,4.0,Merci Jérôme,Monday 7AM-8PM,Tuesday 7AM-8PM,Wednesday 7AM-8PM,Thursday 7AM-8PM,Friday 7AM-8PM,Saturday 7AM-8PM,Sunday 7AM-8PM,48.8495,2.29816
Novotel Paris Centre Gare Montparnasse,https://www.tripadvisor.com/Hotel_Review-g187147-d597573-Reviews-Novotel_Paris_Centre_Gare_Montparnasse-Paris_Ile_de_France.html,"17 rue du Cotentin, 75015 Paris France",ORY,8.0,mi,4.0,Halle Quatre,"Monday 12:00 - 14:30, 19:00 - 22:30","Tuesday 12:00 - 14:30, 19:00 - 22:30","Wednesday 12:00 - 14:30, 19:00 - 22:30","Thursday 12:00 - 14:30, 19:00 - 22:30","Friday 12:00 - 14:30, 19:00 - 22:30",Saturday Closed,Sunday Closed,48.83858,2.31504
Pullman Paris Centre - Bercy,https://www.tripadvisor.com/Hotel_Review-g187147-d207838-Reviews-Pullman_Paris_Centre_Bercy-Paris_Ile_de_France.html,"1 rue de Libourne Cour Saint-Emilion, 75012 Paris France",ORY,7.0,mi,4.0,Ariette - Restaurant & Bar,Monday 12:00 - 22:30,Tuesday 12:00 - 22:30,Wednesday 12:00 - 22:30,Thursday 12:00 - 22:30,Friday 12:00 - 22:30,Saturday 12:00 - 22:30,Sunday 12:00 - 22:30,48.831470012121,2.387207011873
25hours Hotel Terminus Nord,https://www.tripadvisor.com/Hotel_Review-g187147-d653824-Reviews-25hours_Hotel_Terminus_Nord-Paris_Ile_de_France.html,"12 boulevard de Denain, 75010 Paris France",ORY,11.0,mi,4.0,Neni Paris,Monday 7:30AM-10:30AM12PM-11PM,Tuesday 7:30AM-10:30AM12PM-11PM,Wednesday 7:30AM-10:30AM12PM-11PM,Thursday 7:30AM-10:30AM12PM-11PM,Friday 7:30AM-10:30AM12PM-11PM,Saturday 7:30AM-10:30AM12PM-11PM,Sunday 7:30AM-10:30AM12PM-11PM,48.879657,2.3549177
Hyatt Regency Paris Etoile,https://www.tripadvisor.com/Hotel_Review-g187147-d595754-Reviews-Hyatt_Regency_Paris_Etoile-Paris_Ile_de_France.html,"3 Place du General Koenig, 75017 Paris France",ORY,11.0,mi,4.0,MAYO - Hyatt Regency Paris Etoile,Monday 12:00 - 22:00,Tuesday 12:00 - 22:00,Wednesday 12:00 - 22:00,Thursday 12:00 - 22:00,Friday 12:00 - 22:00,Saturday 12:00 - 22:00,Sunday 12:00 - 22:00,48.8805372,2.2845671
Hilton Paris Opera,https://www.tripadvisor.com/Hotel_Review-g187147-d207718-Reviews-Hilton_Paris_Opera-Paris_Ile_de_France.html,"108 Rue Saint-Lazare, 75008 Paris France",ORY,10.0,mi,4.0,Le Grand Salon,Monday 7:30AM-1AM,Tuesday 7:30AM-1AM,Wednesday 7:30AM-1AM,Thursday 7:30AM-1AM,Friday 7:30AM-1AM,Saturday 10:30AM-1AM,Sunday 10:30AM-11PM,48.84578,2.3717793
Canopy By Hilton Paris Trocadero,https://www.tripadvisor.com/Hotel_Review-g187147-d21281646-Reviews-Canopy_By_Hilton_Paris_Trocadero-Paris_Ile_de_France.html,"16 Avenue d Eylau, 75116 Paris France",ORY,10.0,mi,4.0,L'Esprit Nouveau,Monday 7AM-10:30AM,Tuesday 7AM-10:30AM,Wednesday 7AM-10:30AM,Thursday 7AM-10:30AM,Friday 7AM-10:30AM,Saturday 7AM-10:30AM,Sunday 7AM-10:30AM,48.864380990281,2.285046239109
Hotel Westminster,https://www.tripadvisor.com/Hotel_Review-g187147-d197477-Reviews-Hotel_Westminster-Paris_Ile_de_France.html,"13 Rue de la Paix, 75002 Paris France",ORY,10.0,mi,4.0,Duke’s Bar & Restaurant  – Hôtel Westminster Paris,Monday 07:00 - 23:00,Tuesday 07:00 - 23:30,Wednesday 07:00 - 23:00,Thursday 07:00 - 23:00,Friday 07:00 - 23:00,Saturday 07:00 - 24:00,Sunday 07:00 - 24:00,48.8693321,2.3311085
