restname,address_x
Chez Nicos,"44 rue Mouffetard, 75005 Paris France"
Pizzeria Arrivederci,"47 rue Gay Lussac, 75005 Paris France"
Bistrot Instinct,"19 rue de Picardie, 75003 Paris France"
Da Giuseppe,"76 rue du Faubourg Poissonniere, 75010 Paris France"
Il Etait Un Square,"54 rue Corvisart, 75013 Paris France"
Assanabel Paris,"6 rue Pierre Chausson, 75010 Paris France"
Perlimpinpin,"121 rue de Rome, 75017 Paris France"
Alix et Mika,"37 rue Lamarck, 75018 Paris France"
HABILE.,"16 rue de Lancry À l'angle de la rue de Lancry et de la rue Château d'eau, 75010 Paris France"
Pur' - Jean-Francois Rouquette,"5 Rue de la Paix Park Hyatt Paris, 75002 Paris France"
Les Apotres de Pigalle,"2 rue Germain Pilon, 75018 Paris France"
Orgueil,"6 rue Popincourt, 75011 Paris France"
Frog XVI,"110 B avenue Kleber, 75116 Paris France"
Le Comptoir Boutary,"32 Rue Catherine De La Rochefoucauld, 75009 Paris France"
Miura,"15, rue de l'Arc de Triomphe, 75017 Paris France"
Boutary,"25 rue Mazarine, 75006 Paris France"
114 Faubourg,"114 rue du Faubourg Saint Honore, 75008 Paris France"
Petit Boutary,"16 rue Jacquemont, 75017 Paris France"
Chefs a Table,"15 rue Trousseau, 75011 Paris France"
Nell'Arte,"58 rue Marguerite de Rochechouart, 75009 Paris France"
Cavale,"40 Rue des Petites Ecuries, 75010 Paris France"
New Jawad Longchamp,"30 rue de Longchamp, 75116 Paris France"
Verse Toujours,"3 avenue des Gobelins, 75005 Paris France"
ASPIC,"24 rue de la Tour D Auvergne, 75009 Paris France"
Bao & ME,"89 rue du Faubourg Poissonniere, 75009 Paris France"
Bistrot Kinzo,"13 rue Rougemont, 75009 Paris France"
Au P'tit Curieux,"27 rue de Sambre Et Meuse, 75010 Paris France"
Alliance,"5 rue de Poissy, 75005 Paris France"
La Maison du boulevard,"40 boulevard de l Hopital, 75005 Paris France"
Pastamore,"37 Boulevard du Montparnasse, 75006 Paris France"
Pizzamore Paris,"121 Avenue Du Maine, 75014 Paris France"
Domenico's,"8 rue Saint Lazare, 75009 Paris France"
The Frog at Bercy Village,"25 Cour Saint Emilion, 75012 Paris France"
Can Alegria Paris,"73 rue Jean Baptiste Pigalle, 75009 Paris France"
Mache,"61 rue de Chabrol, 75010 Paris France"
Terra Mia,"118 boulevard du Montparnasse, 75014 Paris France"
Bus Toque,"67 Av. des Champs-Elysees, 75008 Paris France"
Pardi,"85 B boulevard de Magenta Marché Saint Quentin, 75010 Paris France"
Via Emilia,"22 rue la Bruyere 22 rue la Bruyère, 75009 Paris France"
Le Village Russe,"21 quai D Austerlitz 1-2 Place Holmes, 75013 Paris France"
JJ Beaumarchais,"92 boulevard Beaumarchais, 75011 Paris France"
Bistrot Beyrouth,"103 Rue de Charonne, 75011 Paris France"
Nectar,"7 rue Mayran Hôtel Maison mère, 75009 Paris France"
Poni,"24 rue Saint Lazare, 75009 Paris France"
Comptoir Gourmet,"51 rue du Temple Metro Ligne 1 - Station Hotel de Ville, Metro Ligne 11 - Station Rambuteau, 75004 Paris France"
Perception,"53 rue Blanche, 75009 Paris France"
Chez Arnaud,"16 rue Eugene Jumin, 75019 Paris France"
Gosier,"27 rue Rodier, 75009 Paris France"
Bistro Chez Pradel,"3 rue du Pasteur Wagner, 75011 Paris France"
